Index,Hospital Name,Hospital Address,Google Maps URL
1,Hisar Hospital Intercontinental,Hospital · No:7 Site Yolu Caddesi,https://www.google.com/maps/place/Hisar+Hospital+Intercontinental/data=!4m7!3m6!1s0x14cac8e0a49953f1:0xe0cb4c53ef32570e!8m2!3d41.026527!4d29.115571!16s%2Fg%2F1tkmvn6q!19sChIJ8VOZpODIyhQRDlcy71NMy-A?authuser=0&hl=en&rclk=1
2,CNR MEDICARE,Medical office · 5 Babayani Sokak,https://www.google.com/maps/place/CNR+MEDICARE/data=!4m7!3m6!1s0x14cab9a0f8cb9b2b:0x87d5c53b1ac021a9!8m2!3d41.005699!4d28.973777!16s%2Fg%2F11vyj10c5h!19sChIJK5vL-KC5yhQRqSHAGjvF1Yc?authuser=0&hl=en&rclk=1
3,Memorial Şişli Hastanesi,"·  · Kaptan Paşa Mah. Piyale Paşa Bulv, Okmeydanı Cd. No: 4",https://www.google.com/maps/place/Memorial+%C5%9Ei%C5%9Fli+Hastanesi/data=!4m7!3m6!1s0x14cab72325d1a9cf:0xaddd3acd2b43b336!8m2!3d41.0614834!4d28.9723751!16s%2Fg%2F1hc1j2vhh!19sChIJz6nRJSO3yhQRNrNDK8063a0?authuser=0&hl=en&rclk=1
4,American Hospital,·  · Güzelbahçe Sk. No:20,https://www.google.com/maps/place/American+Hospital/data=!4m7!3m6!1s0x14cab708ea0e8ced:0x3e2dfa2a7d2db401!8m2!3d41.0529965!4d28.9955347!16s%2Fg%2F1td44pk4!19sChIJ7YwO6gi3yhQRAbQtfSr6LT4?authuser=0&hl=en&rclk=1
5,Turkey Hospital,·  · Darülaceze Cd. 14/1,https://www.google.com/maps/place/Turkey+Hospital/data=!4m7!3m6!1s0x14cab71e70400705:0x16aeed40474ad3f1!8m2!3d41.0660407!4d28.9816981!16s%2Fg%2F1hc17l9sp!19sChIJBQdAcB63yhQR8dNKR0DtrhY?authuser=0&hl=en&rclk=1
6,Liv Hospital,"·  · Ulus Ahmet Adnan Saygun cad, Canan Sk.",https://www.google.com/maps/place/Liv+Hospital/data=!4m7!3m6!1s0x14cab7aab1d6ee75:0xeb8f511b4d9e121a!8m2!3d41.0609154!4d29.0286202!16s%2Fg%2F11b6q7t05k!19sChIJde7Wsaq3yhQRGhKeTRtRj-s?authuser=0&hl=en&rclk=1
7,Avicenna International Hospital,·  · Kayışdağı Cd. no:47,https://www.google.com/maps/place/Avicenna+International+Hospital/data=!4m7!3m6!1s0x14cac638df9fa011:0x68720d01a7943773!8m2!3d40.9793471!4d29.1088265!16s%2Fg%2F1tdjlyzr!19sChIJEaCf3zjGyhQRczeUpwENcmg?authuser=0&hl=en&rclk=1
8,Private Mecidiyeköy Çevre Hospital,·  · Cemal Sahir Sokaği No:2,https://www.google.com/maps/place/Private+Mecidiyek%C3%B6y+%C3%87evre+Hospital/data=!4m7!3m6!1s0x14cab6566d87341b:0x1d76555c7cd99eee!8m2!3d41.0672962!4d29.0014322!16s%2Fg%2F1tjj8mr1!19sChIJGzSHbVa2yhQR7p7ZfFxVdh0?authuser=0&hl=en&rclk=1
9,Hisar Intercontinental Hastanesi,·  · Site Yolu Cd No:7,https://www.google.com/maps/place/Hisar+Intercontinental+Hastanesi/data=!4m7!3m6!1s0x14cac8e0a49953f1:0xe0cb4c53ef32570e!8m2!3d41.026527!4d29.115571!16s%2Fg%2F1tkmvn6q!19sChIJ8VOZpODIyhQRDlcy71NMy-A?authuser=0&hl=en&rclk=1
10,Medical Park Bahçelievler Hospital,"·  · Bahçelievler Mahallesi, E-5 Karayolu / Kültür Sok No:1",https://www.google.com/maps/place/Medical+Park+Bah%C3%A7elievler+Hospital/data=!4m7!3m6!1s0x14caa4ad4f4032bd:0x6815e87293ec71da!8m2!3d40.9957004!4d28.8634886!16s%2Fg%2F113h3966x!19sChIJvTJAT62kyhQR2nHsk3LoFWg?authuser=0&hl=en&rclk=1
